word,count
republican,9005.0
bill,7215.0
health,6423.0
care,5429.0
democrat,4852.0
plan,4600.0
tax,4485.0
insur,4439.0
obamacar,4176.0
vote,4009.0
senat,3996.0
ryan,2570.0
medicaid,2338.0
legisl,2335.0
conserv,2268.0
repeal,2216.0
gop,2151.0
pass,2115.0
act,2098.0
white,2041.0
percent,2035.0
coverag,1960.0
member,1931.0
parti,1929.0
congress,1783.0
budget,1770.0
fund,1754.0
major,1724.0
law,1680.0
cut,1666.0
cost,1666.0
leader,1644.0
caucu,1619.0
afford,1616.0
replac,1520.0
million,1510.0
freedom,1506.0
feder,1504.0
administr,1503.0
spend,1484.0
polici,1385.0
program,1332.0
propos,1313.0
pay,1260.0
reform,1239.0
premium,1223.0
paul,1168.0
congression,1151.0
requir,1127.0
elect,1108.0
chang,1104.0
promis,1066.0
benefit,1046.0
speaker,1033.0
healthcar,1021.0
rule,1007.0
obama,1005.0
rate,1000.0
committe,988.0
individu,987.0
tuesday,961.0
rep,957.0
washington,937.0
repres,934.0
court,918.0
system,915.0
money,907.0
wall,905.0
market,904.0
district,902.0
cover,899.0
price,884.0
deal,855.0
increas,848.0
effort,836.0
condit,835.0
moder,834.0
voter,834.0
lawmak,831.0
provid,829.0
thursday,823.0
meet,818.0
ahca,812.0
win,788.0
servic,780.0
aca,753.0
fail,750.0
famili,742.0
filibust,733.0
number,729.0
cbo,725.0
billion,725.0
incom,723.0
leadership,718.0
friday,712.0
oppos,711.0
sign,704.0
lose,700.0
sen,700.0
face,694.0
expect,693.0
talk,692.0
gorsuch,687.0
offer,683.0
border,675.0
subsidi,669.0
lot,668.0
big,665.0
negoti,664.0
give,664.0
compani,663.0
credit,656.0
wednesday,656.0
lower,653.0
expans,653.0
clear,649.0
push,647.0
didnt,645.0
problem,635.0
doesnt,631.0
process,629.0
critic,603.0
busi,603.0
current,602.0
concern,600.0
debat,592.0
mean,572.0
remain,571.0
job,570.0
im,562.0
medic,561.0
amend,559.0
provis,549.0
buy,547.0
close,541.0
idea,536.0
run,535.0
mandat,533.0
find,533.0
leav,532.0
mcconnel,526.0
forc,525.0
suprem,524.0
parenthood,524.0
final,522.0
reason,519.0
aid,518.0
protect,518.0
hope,518.0
measur,517.0
top,517.0
suggest,513.0
theyr,513.0
opposit,510.0
option,509.0
place,508.0
result,507.0
effect,501.0
fight,500.0
monday,499.0
secretari,495.0
happen,494.0
expand,493.0
seat,489.0
rais,486.0
march,486.0
creat,484.0
control,482.0
ask,482.0
lead,481.0
nomine,474.0
line,473.0
shutdown,472.0
secur,469.0
import,468.0
econom,468.0
regul,467.0
reduc,467.0
approv,463.0
power,462.0
agre,462.0
estim,458.0
mark,458.0
tom,458.0
confirm,455.0
meadow,453.0
set,453.0
left,453.0
	,453.0
base,452.0
press,452.0
turn,451.0
nomin,451.0
higher,451.0
america,450.0
candid,445.0
help,444.0
posit,437.0
deduct,435.0
choic,434.0
blame,434.0
he,433.0
essenti,432.0
past,431.0
poll,431.0
fact,430.0
statement,428.0
open,427.0
read,426.0
post,426.0
patient,423.0
director,418.0
case,417.0
key,414.0
take,413.0
futur,412.0
york,410.0
abort,410.0
payment,409.0
hard,409.0
argu,409.0
larg,408.0
twitter,403.0
ossoff,403.0
agenda,400.0
penc,400.0
discuss,399.0
floor,397.0
charg,397.0
mulvaney,397.0
bring,395.0
interest,394.0
hold,394.0
failur,393.0
won,391.0
expens,391.0
hospit,390.0
employ,389.0
schumer,387.0
decis,387.0
exchang,386.0
clinton,386.0
pull,386.0
great,385.0
chairman,384.0
cnn,383.0
hill,382.0
elimin,381.0
receiv,380.0
poor,379.0
interview,379.0
save,379.0
side,377.0
senior,375.0
tweet,373.0
block,372.0
capitol,372.0
addit,372.0
respons,370.0
today,370.0
race,370.0
view,368.0
corpor,367.0
allow,367.0
high,367.0
prioriti,365.0
medicar,365.0
minor,364.0
isnt,363.0
decid,362.0
women,360.0
stop,359.0
releas,359.0
execut,357.0
judg,356.0
governor,356.0
drug,355.0
forward,354.0
access,353.0
uninsur,353.0
note,353.0
step,352.0
center,351.0
limit,351.0
privat,350.0
overhaul,345.0
found,345.0
risk,345.0
victori,344.0
night,344.0
vice,341.0
action,341.0
full,340.0
stand,340.0
growth,337.0
your,337.0
confer,336.0
doctor,335.0
wont,332.0
explain,332.0
marketplac,330.0
progress,330.0
way,329.0
kind,328.0
level,328.0
attempt,326.0
need,324.0
challeng,323.0
earli,322.0
decad,321.0
want,321.0
barack,319.0
real,319.0
older,318.0
improv,318.0
special,318.0
claim,317.0
pool,316.0
hand,316.0
term,316.0
defeat,314.0
potenti,314.0
return,314.0
appear,314.0
popular,313.0
hour,312.0
break,312.0
human,312.0
fix,311.0
impact,310.0
morn,310.0
deficit,308.0
univers,308.0
chief,307.0
begin,304.0
avoid,303.0
matter,302.0
worri,299.0
dollar,299.0
order,299.0
signific,299.0
play,299.0
version,298.0
project,298.0
john,297.0
reconcili,296.0
demand,296.0
presidenti,295.0
paid,295.0
chanc,295.0
children,294.0
build,292.0
reach,292.0
preexist,292.0
share,289.0
bipartisan,289.0
primari,288.0
approach,287.0
age,286.0
sick,286.0
score,286.0
healthi,286.0
bad,284.0
constitu,280.0
detail,280.0
prevent,280.0
pelosi,279.0
home,279.0
goal,278.0
enrol,277.0
research,277.0
success,276.0
georgia,276.0
hear,274.0
loss,274.0
favor,272.0
weve,272.0
earlier,271.0
deliv,269.0
spicer,269.0
institut,268.0
announc,268.0
strategi,267.0
wrote,266.0
commun,266.0
address,263.0
breitbart,263.0
averag,263.0
small,263.0
fall,262.0
worker,262.0
lost,262.0
amount,262.0
understand,262.0
organ,262.0
account,262.0
kansa,260.0
histori,259.0
short,257.0
manag,257.0
area,256.0
consum,255.0
simpli,254.0
justic,253.0
differ,252.0
direct,252.0
come,252.0
agenc,252.0
analysi,251.0
seek,249.0
team,249.0
roll,248.0
answer,247.0
ago,247.0
difficult,247.0
fiscal,246.0
mike,245.0
sell,244.0
form,244.0
initi,244.0
financi,244.0
serv,243.0
feel,242.0
social,242.0
industri,241.0
sunday,241.0
comment,241.0
insist,241.0
treatment,240.0
staff,239.0
chamber,239.0
taxpay,239.0
gain,238.0
opportun,238.0
singl,237.0
waiver,236.0
life,235.0
expert,235.0
drop,235.0
macarthur,234.0
strong,234.0
affect,233.0
grant,233.0
half,233.0
april,233.0
stay,233.0
thought,232.0
wouldnt,232.0
studi,232.0
adult,232.0
warn,232.0
earn,232.0
advis,231.0
fewer,231.0
messag,230.0
revenu,230.0
foundat,230.0
main,230.0
drive,229.0
refus,229.0
media,229.0
let,228.0
grow,228.0
specif,228.0
attack,228.0
depart,228.0
predict,227.0
biggest,227.0
exist,226.0
passag,226.0
late,225.0
rise,225.0
code,225.0
follow,225.0
nuclear,223.0
virginia,223.0
head,222.0
appropri,222.0
liber,221.0
express,221.0
held,221.0
defens,221.0
shift,221.0
wors,220.0
procedur,220.0
trillion,220.0
free,220.0
word,219.0
speak,218.0
economi,218.0
mitch,218.0
arent,217.0
longer,216.0
compromis,215.0
simpl,215.0
agreement,214.0
total,213.0
young,212.0
jersey,212.0
ahead,210.0
local,210.0
threat,210.0
enrolle,210.0
ultim,210.0
huge,209.0
involv,208.0
write,207.0
associ,207.0
defend,207.0
what,207.0
think,207.0
basic,206.0
david,205.0
counti,205.0
true,205.0
emerg,204.0
ensur,204.0
lack,204.0
pressur,203.0
quickli,203.0
colleagu,203.0
spent,203.0
achiev,202.0
penalti,202.0
reduct,201.0
threaten,201.0
compar,201.0
town,200.0
popul,199.0
target,199.0
latest,199.0
texa,197.0
right,197.0
room,197.0
learn,196.0
collaps,196.0
elig,195.0
guarante,195.0
join,195.0
wrong,193.0
figur,193.0
test,193.0
believ,192.0
board,192.0
rich,192.0
partisan,191.0
abil,191.0
enact,191.0
commit,191.0
encourag,191.0
led,191.0
hurt,190.0
accept,190.0
choos,189.0
wasnt,189.0
death,188.0
author,188.0
debt,188.0
fear,187.0
argument,187.0
role,187.0
invest,186.0
packag,186.0
wait,186.0
list,185.0
piec,184.0
sander,184.0
introduc,183.0
purchas,183.0
experi,183.0
infrastructur,183.0
massiv,183.0
deni,183.0
similar,182.0
competit,182.0
oppon,182.0
parent,182.0
possibl,182.0
energi,180.0
employe,180.0
signal,180.0
child,180.0
moment,179.0
mnuchin,179.0
develop,179.0
draft,179.0
saturday,179.0
ralli,178.0
pledg,178.0
alli,178.0
collin,177.0
confid,177.0
cap,177.0
stori,177.0
daili,176.0
cruz,176.0
chuck,176.0
record,176.0
rest,176.0
aim,176.0
politician,175.0
battl,175.0
heritag,175.0
divid,175.0
altern,175.0
met,174.0
complet,174.0
sens,174.0
establish,173.0
unpopular,173.0
respond,172.0
pretti,172.0
bush,171.0
appeal,171.0
hillari,171.0
ill,171.0
focu,170.0
struggl,170.0
immigr,170.0
origin,170.0
design,169.0
advanc,169.0
entir,169.0
margin,169.0
custom,169.0
matern,169.0
independ,168.0
poverti,168.0
gave,168.0
depend,168.0
send,168.0
deadlin,168.0
tradit,167.0
novemb,167.0
carolina,167.0
afternoon,166.0
fulli,166.0
north,165.0
annual,165.0
kentucki,165.0
add,165.0
kaiser,164.0
midterm,164.0
dramat,164.0
reject,164.0
principl,164.0
fellow,163.0
nanci,163.0
tell,163.0
letter,163.0
ive,162.0
particip,162.0
oper,162.0
page,162.0
readi,162.0
wealthi,162.0
ideolog,161.0
realiti,161.0
low,161.0
spoke,160.0
chri,160.0
edit,159.0
entitl,159.0
incent,159.0
vulner,159.0
endors,159.0
recess,158.0
sean,158.0
adjust,158.0
maintain,158.0
revis,158.0
path,157.0
hall,157.0
here,157.0
event,157.0
sourc,156.0
began,156.0
handel,156.0
declin,156.0
request,156.0
congressman,156.0
pick,155.0
whip,155.0
georg,154.0
signatur,154.0
consequ,154.0
cotton,154.0
war,154.0
focus,153.0
contribut,153.0
dozen,153.0
delay,152.0
coupl,152.0
appli,152.0
bit,152.0
urg,152.0
accomplish,151.0
refer,151.0
prepar,151.0
ryancar,150.0
complic,150.0
chair,150.0
prove,150.0
declar,149.0
disabl,149.0
inform,148.0
keep,148.0
tabl,148.0
period,148.0
product,148.0
constitut,147.0
schedul,147.0
eventu,147.0
addict,146.0
attent,146.0
count,146.0
neil,145.0
impos,145.0
standard,144.0
mick,144.0
fox,144.0
priebu,144.0
advoc,143.0
die,143.0
vox,143.0
solut,143.0
easi,143.0
hit,142.0
doubt,142.0
determin,142.0
middl,142.0
cancer,142.0
friend,142.0
dead,142.0
richard,141.0
convers,141.0
evid,141.0
reagan,141.0
object,141.0
california,140.0
previou,140.0
citi,140.0
nonpartisan,140.0
session,140.0
outcom,139.0
steve,139.0
prais,139.0
rand,139.0
class,139.0
due,138.0
closer,138.0
resist,138.0
frustrat,138.0
relat,138.0
publicli,138.0
hike,137.0
opt,137.0
couldnt,136.0
west,136.0
florida,136.0
theyv,136.0
reflect,135.0
kevin,135.0
mind,134.0
separ,134.0
watch,134.0
sound,133.0
consid,133.0
januari,133.0
threshold,133.0
present,133.0
consensu,133.0
check,133.0
repeatedli,133.0
controversi,133.0
visit,132.0
faction,132.0
flexibl,132.0
construct,132.0
practic,132.0
cite,131.0
acknowledg,131.0
lobbi,131.0
produc,130.0
voic,130.0
remov,130.0
domest,130.0
skeptic,130.0
immedi,129.0
meant,129.0
mental,129.0
reli,129.0
stabil,129.0
insid,128.0
statu,128.0
advantag,127.0
vow,127.0
school,127.0
boost,127.0
subsid,127.0
host,126.0
offset,126.0
worth,126.0
structur,126.0
ted,126.0
militari,126.0
unclear,126.0
qualifi,126.0
